filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
WIN_20221120_22_10_31_Pro.jpg,241402,"{}",10,0,"{""name"":""point"",""cx"":510,""cy"":583}","{}"
WIN_20221120_22_10_31_Pro.jpg,241402,"{}",10,1,"{""name"":""point"",""cx"":777,""cy"":213}","{}"
WIN_20221120_22_10_31_Pro.jpg,241402,"{}",10,2,"{""name"":""point"",""cx"":935,""cy"":163}","{}"
WIN_20221120_22_10_31_Pro.jpg,241402,"{}",10,3,"{""name"":""point"",""cx"":1074,""cy"":261}","{}"
WIN_20221120_22_10_31_Pro.jpg,241402,"{}",10,4,"{""name"":""point"",""cx"":1160,""cy"":395}","{}"
WIN_20221120_22_10_31_Pro.jpg,241402,"{}",10,5,"{""name"":""point"",""cx"":661,""cy"":689}","{}"
WIN_20221120_22_10_31_Pro.jpg,241402,"{}",10,6,"{""name"":""point"",""cx"":800,""cy"":463}","{}"
WIN_20221120_22_10_31_Pro.jpg,241402,"{}",10,7,"{""name"":""point"",""cx"":898,""cy"":453}","{}"
WIN_20221120_22_10_31_Pro.jpg,241402,"{}",10,8,"{""name"":""point"",""cx"":971,""cy"":489}","{}"
WIN_20221120_22_10_31_Pro.jpg,241402,"{}",10,9,"{""name"":""point"",""cx"":1037,""cy"":555}","{}"
WIN_20221120_22_10_39_Pro.jpg,245795,"{}",10,0,"{""name"":""point"",""cx"":786,""cy"":567}","{}"
WIN_20221120_22_10_39_Pro.jpg,245795,"{}",10,1,"{""name"":""point"",""cx"":865,""cy"":447}","{}"
WIN_20221120_22_10_39_Pro.jpg,245795,"{}",10,2,"{""name"":""point"",""cx"":911,""cy"":431}","{}"
WIN_20221120_22_10_39_Pro.jpg,245795,"{}",10,3,"{""name"":""point"",""cx"":964,""cy"":455}","{}"
WIN_20221120_22_10_39_Pro.jpg,245795,"{}",10,4,"{""name"":""point"",""cx"":996,""cy"":504}","{}"
WIN_20221120_22_10_39_Pro.jpg,245795,"{}",10,5,"{""name"":""point"",""cx"":820,""cy"":607}","{}"
WIN_20221120_22_10_39_Pro.jpg,245795,"{}",10,6,"{""name"":""point"",""cx"":868,""cy"":546}","{}"
WIN_20221120_22_10_39_Pro.jpg,245795,"{}",10,7,"{""name"":""point"",""cx"":908,""cy"":537}","{}"
WIN_20221120_22_10_39_Pro.jpg,245795,"{}",10,8,"{""name"":""point"",""cx"":933,""cy"":542}","{}"
WIN_20221120_22_10_39_Pro.jpg,245795,"{}",10,9,"{""name"":""point"",""cx"":953,""cy"":562}","{}"
WIN_20221120_22_10_41_Pro.jpg,242766,"{}",10,0,"{""name"":""point"",""cx"":799,""cy"":636}","{}"
WIN_20221120_22_10_41_Pro.jpg,242766,"{}",10,1,"{""name"":""point"",""cx"":913,""cy"":365}","{}"
WIN_20221120_22_10_41_Pro.jpg,242766,"{}",10,2,"{""name"":""point"",""cx"":1009,""cy"":327}","{}"
WIN_20221120_22_10_41_Pro.jpg,242766,"{}",10,3,"{""name"":""point"",""cx"":1113,""cy"":360}","{}"
WIN_20221120_22_10_41_Pro.jpg,242766,"{}",10,4,"{""name"":""point"",""cx"":1210,""cy"":438}","{}"
WIN_20221120_22_10_41_Pro.jpg,242766,"{}",10,5,"{""name"":""point"",""cx"":909,""cy"":699}","{}"
WIN_20221120_22_10_41_Pro.jpg,242766,"{}",10,6,"{""name"":""point"",""cx"":956,""cy"":532}","{}"
WIN_20221120_22_10_41_Pro.jpg,242766,"{}",10,7,"{""name"":""point"",""cx"":1028,""cy"":517}","{}"
WIN_20221120_22_10_41_Pro.jpg,242766,"{}",10,8,"{""name"":""point"",""cx"":1080,""cy"":525}","{}"
WIN_20221120_22_10_41_Pro.jpg,242766,"{}",10,9,"{""name"":""point"",""cx"":1127,""cy"":554}","{}"
WIN_20221120_22_10_43_Pro.jpg,254187,"{}",10,0,"{""name"":""point"",""cx"":1152,""cy"":630}","{}"
WIN_20221120_22_10_43_Pro.jpg,254187,"{}",10,1,"{""name"":""point"",""cx"":1330,""cy"":210}","{}"
WIN_20221120_22_10_43_Pro.jpg,254187,"{}",10,2,"{""name"":""point"",""cx"":1508,""cy"":131}","{}"
WIN_20221120_22_10_43_Pro.jpg,254187,"{}",10,3,"{""name"":""point"",""cx"":1664,""cy"":194}","{}"
WIN_20221120_22_10_43_Pro.jpg,254187,"{}",10,4,"{""name"":""point"",""cx"":1799,""cy"":333}","{}"
WIN_20221120_22_10_43_Pro.jpg,254187,"{}",10,5,"{""name"":""point"",""cx"":1322,""cy"":763}","{}"
WIN_20221120_22_10_43_Pro.jpg,254187,"{}",10,6,"{""name"":""point"",""cx"":1387,""cy"":497}","{}"
WIN_20221120_22_10_43_Pro.jpg,254187,"{}",10,7,"{""name"":""point"",""cx"":1481,""cy"":469}","{}"
WIN_20221120_22_10_43_Pro.jpg,254187,"{}",10,8,"{""name"":""point"",""cx"":1569,""cy"":480}","{}"
WIN_20221120_22_10_43_Pro.jpg,254187,"{}",10,9,"{""name"":""point"",""cx"":1643,""cy"":523}","{}"
WIN_20221120_22_10_44_Pro.jpg,245819,"{}",10,0,"{""name"":""point"",""cx"":961,""cy"":657}","{}"
WIN_20221120_22_10_44_Pro.jpg,245819,"{}",10,1,"{""name"":""point"",""cx"":1023,""cy"":365}","{}"
WIN_20221120_22_10_44_Pro.jpg,245819,"{}",10,2,"{""name"":""point"",""cx"":1152,""cy"":315}","{}"
